"ObjectName";"Id";"Type";"Property";"Value1";"Value2";"Match"
"Win - OIB - ES - Windows Hello for Business - D - WHfB Configuration - v3.2";"5e082981-0854-4689-9c49-271e42d11430";"Settings Catalog";;;"Win - OIB - ES - Windows Hello for Business - D - WHfB Configuration - v3.2";"False"
"Win - OIB - ES - Windows LAPS - D - LAPS Configuration (24H2+) - v3.6";"ccde33f8-d5c4-411c-9bbe-371e9894d1f9";"Settings Catalog";;;"Win - OIB - ES - Windows LAPS - D - LAPS Configuration (24H2+) - v3.6";"False"
"Win - OIB - ES - Windows LAPS - D - LAPS Configuration - v3.1";"ccde33f8-d5c4-411c-9bbe-371e9894d1f9";"Settings Catalog";;;"Win - OIB - ES - Windows LAPS - D - LAPS Configuration - v3.1";"False"
"Win - OIB - SC - Credential Management - D - Passwordless - v3.3";"8dea6029-d01c-4ece-8df1-b78d3ed948bb";"Settings Catalog";;;"Win - OIB - SC - Credential Management - D - Passwordless - v3.3";"False"
"Win - OIB - SC - Defender Antivirus - D - Additional Configuration - v3.6";"2b3a8e2b-3daa-472c-8b1c-809fc76d4a1d";"Settings Catalog";;;"Win - OIB - SC - Defender Antivirus - D - Additional Configuration - v3.6";"False"
"Win - OIB - SC - Device Security - D - Audit and Event Logging - v3.1";"24eba4ff-3d7e-40b4-9241-9ec567d8a959";"Settings Catalog";;;"Win - OIB - SC - Device Security - D - Audit and Event Logging - v3.1";"False"
"Win - OIB - SC - Device Security - D - Config Refresh - v3.2";"160572cb-e556-46e4-ac05-470bdc3ee77c";"Settings Catalog";;;"Win - OIB - SC - Device Security - D - Config Refresh - v3.2";"False"
"Win - OIB - SC - Device Security - D - Enhanced Phishing Protection - v3.0";"3ce1005d-b2a9-4b6d-ba2b-c08cc24aad4d";"Settings Catalog";;;"Win - OIB - SC - Device Security - D - Enhanced Phishing Protection - v3.0";"False"
"Win - OIB - SC - Device Security - D - Local Security Policies (24H2+) - v3.6";"7848bcb6-6cd3-43a4-9781-b27b54bb3524";"Settings Catalog";;;"Win - OIB - SC - Device Security - D - Local Security Policies (24H2+) - v3.6";"False"
"Win - OIB - SC - Device Security - D - Local Security Policies - v3.0";"141e9d65-91f0-4dfb-b27b-e60a59a4fadc";"Settings Catalog";;;"Win - OIB - SC - Device Security - D - Local Security Policies - v3.0";"False"
